period,date,winner,loser,winner_odds,loser_odds,winner_score,loser_score
37,2024-04-27,Wolves,Luton,1.95,3.6,2,1
37,2024-04-28,Arsenal,Tottenham,1.75,4.2,3,2
37,2024-04-28,Bournemouth,Brighton,2.25,2.9,3,0
37,2024-04-28,Man City,Nott'm Forest,1.3,8,2,0
37,2024-05-02,Chelsea,Tottenham,2.15,3,2,0
38,2024-05-04,Arsenal,Bournemouth,1.22,11,3,0
38,2024-05-04,Man City,Wolves,1.08,21,5,1
38,2024-05-04,Newcastle,Burnley,1.95,3.4,4,1
38,2024-05-04,Nott'm Forest,Sheffield United,1.65,4.75,3,1
38,2024-05-05,Brighton,Aston Villa,2.75,2.45,1,0
38,2024-05-05,Chelsea,West Ham,1.65,4.5,5,0
38,2024-05-05,Liverpool,Tottenham,1.5,5,4,2
38,2024-05-06,Crystal Palace,Man United,2.38,2.8,4,0
39,2024-05-11,Brentford,Bournemouth,3.5,1.95,2,1
39,2024-05-11,Chelsea,Nott'm Forest,2,3.4,3,2
39,2024-05-11,Crystal Palace,Wolves,2.38,2.88,3,1
39,2024-05-11,Everton,Sheffield United,1.4,7.5,1,0
39,2024-05-11,Man City,Fulham,1.2,13,4,0
39,2024-05-11,Tottenham,Burnley,1.36,7,2,1
39,2024-05-11,West Ham,Luton,1.8,3.8,3,1
39,2024-05-12,Arsenal,Man United,1.36,7,1,0
39,2024-05-14,Man City,Tottenham,1.36,6.5,2,0
39,2024-05-15,Chelsea,Brighton,1.95,3.3,2,1
39,2024-05-15,Man United,Newcastle,2.75,2.3,3,2
40,2024-05-19,Arsenal,Everton,1.18,12,2,1
40,2024-05-19,Chelsea,Bournemouth,1.45,6,2,1
40,2024-05-19,Crystal Palace,Aston Villa,1.85,3.6,5,0
40,2024-05-19,Fulham,Luton,2.2,2.9,4,2
40,2024-05-19,Liverpool,Wolves,1.17,15,2,0
40,2024-05-19,Man City,West Ham,1.08,21,3,1
40,2024-05-19,Man United,Brighton,2.9,2.15,2,0
40,2024-05-19,Newcastle,Brentford,2.2,2.9,4,2
40,2024-05-19,Nott'm Forest,Burnley,2.3,3,2,1
40,2024-05-19,Tottenham,Sheffield United,1.33,7,3,0
